ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
2,43,C:\Windows\System32\prnfldr.dll,2010-11-21 03:23:48+00:00,No,True,win7_files\SYSTEM
2,66,C:\Windows\System32\DeviceCenter.dll,2010-11-21 03:23:51+00:00,No,True,win7_files\SYSTEM
1,47,C:\Windows\System32\ntshrui.dll,2010-11-21 03:23:51+00:00,No,False,win7_files\SYSTEM
1,66,C:\Windows\System32\DeviceCenter.dll,2010-11-21 03:23:51+00:00,No,False,win7_files\SYSTEM
2,47,C:\Windows\System32\ntshrui.dll,2010-11-21 03:23:51+00:00,No,True,win7_files\SYSTEM
2,97,C:\Windows\system32\oobe\msoobe.exe,2010-11-21 03:23:52+00:00,Yes,True,win7_files\SYSTEM
1,97,C:\Windows\system32\oobe\msoobe.exe,2010-11-21 03:23:52+00:00,Yes,False,win7_files\SYSTEM
1,56,C:\Windows\system32\lsm.exe,2010-11-21 03:23:53+00:00,Yes,False,win7_files\SYSTEM
2,56,C:\Windows\system32\lsm.exe,2010-11-21 03:23:53+00:00,Yes,True,win7_files\SYSTEM
2,46,C:\Windows\System32\shdocvw.dll,2010-11-21 03:23:54+00:00,No,True,win7_files\SYSTEM
1,46,C:\Windows\System32\shdocvw.dll,2010-11-21 03:23:54+00:00,No,False,win7_files\SYSTEM
2,101,C:\Windows\system32\vssvc.exe,2010-11-21 03:23:55+00:00,Yes,True,win7_files\SYSTEM
1,63,C:\Windows\System32\cmd.exe,2010-11-21 03:23:55+00:00,Yes,False,win7_files\SYSTEM
1,101,C:\Windows\system32\vssvc.exe,2010-11-21 03:23:55+00:00,Yes,False,win7_files\SYSTEM
2,63,C:\Windows\System32\cmd.exe,2010-11-21 03:23:55+00:00,Yes,True,win7_files\SYSTEM
2,53,C:\Windows\system32\sppsvc.exe,2010-11-21 03:23:56+00:00,Yes,True,win7_files\SYSTEM
2,14,C:\Windows\system32\mstsc.exe,2010-11-21 03:23:56+00:00,No,True,win7_files\SYSTEM
